,0
2016-10-24,0.008403013626250289
2016-10-25,0.004560864536716114
2016-10-26,-0.002043169447892068
2016-10-27,-0.002102112409982815
2016-10-28,-0.004204358070574399
2016-10-31,0.0009758956629115634
2016-11-01,0.0053612001372171925
2016-11-02,-0.006683389236087467
2016-11-03,0.007900714309198476
2016-11-04,-0.0033118471483993828
2016-11-07,0.008119048526457062
2016-11-08,0.002971808690245492
2016-11-09,-0.0020046040850333346
2016-11-10,0.013715107009962146
2016-11-11,0.01513468279426422
2016-11-14,0.002856700940881529
2016-11-15,-0.0006791233812897257
2016-11-16,-0.002106231646719081
2016-11-17,0.003828089784686961
2016-11-18,-0.007690961375513394
2016-11-21,0.007456727505309679
2016-11-22,0.005399158750915678
2016-11-23,0.00318315067673014
2016-11-24,0.004009987445060759
2016-11-25,0.006085080560367384
2016-11-28,0.004031931701024449
2016-11-29,0.0011622450167567688
2016-11-30,-0.009866106852032597
2016-12-01,0.00768219391289704
2016-12-02,-0.009373853781755703
2016-12-05,-0.010002725488738595
2016-12-06,-0.003173297005468978
2016-12-07,0.008460041194479961
2016-12-08,0.0007182178155971108
2016-12-09,0.003911881204036183
2016-12-12,-0.021446643729692405
2016-12-13,0.002513697589686892
2016-12-14,-0.0022860274153463367
2016-12-15,-0.0026006430646162704
2016-12-16,-0.0010823405668839436
2016-12-19,-0.0015661375024811353
2016-12-20,-0.0033611956862606984
2016-12-21,0.0072593333876194155
2016-12-22,-0.001584567481856869
2016-12-23,-0.009205822852470513
2016-12-26,0.0016270068207238086
2016-12-27,-0.0008801136770089091
2016-12-28,-0.005194698588352753
2016-12-29,-0.0008566022484224334
2016-12-30,0.004659480718464559
2017-01-03,0.007521483360928727
2017-01-04,0.00829725823204397
2017-01-05,0.0017623326832780783
2017-01-06,-0.0015948169790469535
2017-01-09,0.00509234993091412
2017-01-10,-0.0014092573793247354
2017-01-11,-0.005818227799841202
2017-01-12,-0.005786706784480344
2017-01-13,-0.004312634111043545
2017-01-16,-0.0024022390571452057
2017-01-17,0.003251365609938439
2017-01-18,0.0040912286571925804
2017-01-19,-0.0038033829491666005
2017-01-20,0.005558725476908721
2017-01-23,0.004604530848259625
2017-01-24,0.0008772434052570777
2017-01-25,0.0011657242643179355
2017-01-26,0.0032124254534453556
2017-02-03,-0.005240247581452473
2017-02-06,0.003990142956794784
2017-02-07,-0.000503488074344749
2017-02-08,0.003471412762708237
2017-02-09,0.004749418358861668
2017-02-10,0.0033042957796105554
2017-02-13,0.0055948723844305714
2017-02-14,0.0015346763910106809
2017-02-15,-0.0032700711580264663
2017-02-16,0.006776793275050208
2017-02-17,-0.0030740062201932705
2017-02-20,0.014132751091600726
2017-02-21,0.0008629101461576916
2017-02-22,0.003014844665750749
2017-02-23,-0.0033085841541599104
2017-02-24,-0.0039735785642441845
2017-02-27,-0.005342021609856085
2017-02-28,0.0033153376808672252
2017-03-01,0.003725591864629063
2017-03-02,-0.0019296547765456085
2017-03-03,-0.0007642782681372973
2017-03-06,0.0046129848499925075
2017-03-07,0.002314093389781835
2017-03-08,-0.0010646612430517122
2017-03-09,-0.004711455051911395
2017-03-10,0.001308883028813268
2017-03-13,0.007460375136027819
2017-03-14,-0.000515761941907722
2017-03-15,0.0005348511782332643
2017-03-16,0.003782049252503583
2017-03-17,-0.004834215747319903
2017-03-20,0.003292190285234309
2017-03-21,0.004855837460844503
2017-03-22,-0.0044099497387267705
2017-03-23,0.0018174777737818282
2017-03-24,0.0033875628904693755
2017-03-27,-0.0033410701110269114
2017-03-28,-0.0021295358485475813
2017-03-29,6.408821834757994e-05
2017-03-30,-0.005839893515094174
2017-03-31,0.00379845325749395
2017-04-05,0.012977320922322955
2017-04-06,0.0004986613122934802
2017-04-07,0.0026564665351747063
2017-04-10,0.002542787738556429
2017-04-11,0.005770780431979539
2017-04-12,0.0035209647987457515
2017-04-13,0.0023240742847281393
2017-04-14,-0.008022632871571234
2017-04-17,-0.004688279363281755
2017-04-18,-0.0033137126907987202
2017-04-19,-0.005162291875781544
2017-04-20,0.0011105655110055235
2017-04-21,0.002271230258427126
2017-04-24,-0.01213259680523704
2017-04-25,0.005407543064502862
2017-04-26,-0.0006795919528741479
2017-04-27,0.0007223363824500062
2017-04-28,-0.001762200192898411
2017-05-02,-0.004142211925288519
2017-05-03,-0.002116974726793064
2017-05-04,-0.002185440874659328
2017-05-05,-0.008194472799264774
2017-05-08,-0.004403114037627831
2017-05-09,0.0015263698416760896
2017-05-10,-0.010506254613371624
2017-05-11,0.0016237594573109693
2017-05-12,0.0028501816516945944
2017-05-15,0.0052017206620096346
2017-05-16,0.008580244890991517
2017-05-17,-0.002041374807027929
2017-05-18,-0.005418675782613791
2017-05-19,-0.000864284855242814
2017-05-22,-0.005255422118658926
2017-05-23,-0.00359297065747477
2017-05-24,0.0023492187198137504
2017-05-25,0.012240979865109303
2017-05-26,-0.0025388158989541054
2017-05-31,0.0022059733635191314
2017-06-01,-0.0050113958085411525
2017-06-02,-0.0006727752758081129
2017-06-05,-0.0026709286764716733
2017-06-06,0.002039360076300234
2017-06-07,0.005388558491750128
2017-06-08,0.0014103192771319772
2017-06-09,0.0022156035075255875
2017-06-12,-0.003021453598547441
2017-06-13,0.0037919607647631803
2017-06-14,-0.0023868304006359198
2017-06-15,0.00022908293265544444
2017-06-16,-0.0005070520246615029
2017-06-19,0.0016507249927850687
2017-06-20,0.0002785139904837308
2017-06-21,0.002249060963702476
2017-06-22,-0.0029130698282845424
2017-06-23,0.00236838464293343
2017-06-26,0.01000009929381318
2017-06-27,-0.0012759813879560378
2017-06-28,-0.003611181425024146
2017-06-29,0.0035118634955628725
2017-06-30,3.525787933456037e-05
2017-07-03,0.005053947232262157
2017-07-04,-0.00219433844394612
2017-07-05,0.0050706962246778176
2017-07-06,0.001503307344298932
2017-07-07,0.007834902328505366
2017-07-10,-0.0010487105546490572
2017-07-11,-0.003032463397532048
2017-07-12,0.0005631352323871575
2017-07-13,0.004536251053202323
2017-07-14,0.0012778063814224971
2017-07-17,-0.0069948863725979304
2017-07-18,0.007495290007240918
2017-07-19,0.014432853766135123
2017-07-20,-0.0007533893255757818
2017-07-21,-3.5423043852622627e-06
2017-07-24,0.0017752542705538055
2017-07-25,-0.0031605011120566795
2017-07-26,0.00128576751030951
2017-07-27,-0.002796847443778838
2017-07-28,0.002600915002508364
2017-07-31,0.015384126461402747
2017-08-01,0.0009897744391735852
2017-08-02,0.0018262107573046027
2017-08-03,0.002221006786448987
2017-08-04,-0.001746522471502976
2017-08-07,0.008426584022577677
2017-08-08,0.0034205497714026034
2017-08-09,0.004033702180319176
2017-08-10,-0.0059904840623316025
2017-08-11,-0.020202838328750694
2017-08-14,0.006486397772526686
2017-08-15,0.0003814629524434565
2017-08-16,-0.0016783970438126739
2017-08-17,0.00962524672939069
2017-08-18,-0.0026239191711009413
2017-08-21,0.006834298897893998
2017-08-22,-0.0013619688496651072
2017-08-23,-0.006242784187515893
2017-08-24,-0.004231882757698702
2017-08-25,0.011090713748378667
2017-08-28,0.005649159811072391
2017-08-29,-0.0011355861182037463
2017-08-30,0.002977059740689292
2017-08-31,-0.000700736029825122
2017-09-01,0.005649574034355176
2017-09-04,0.003709190829426001
2017-09-05,-0.0003179492770579717
2017-09-06,0.0008294265965425041
2017-09-07,-0.0030013081781984363
2017-09-08,0.004097955454881452
2017-09-11,0.0028429396287239506
2017-09-12,0.00042540378217270636
2017-09-13,0.0008547772444795765
2017-09-14,-0.00022689092927130616
2017-09-15,-0.003937997366961099
2017-09-18,-4.30876104675626e-05
2017-09-19,-0.0006059025679842067
2017-09-20,0.005463164330116177
2017-09-21,-0.0028296926316327964
2017-09-22,-0.002486028782712313
2017-09-25,-0.006095079744291798
2017-09-26,0.00501064117032568
2017-09-27,4.942236089511276e-05
2017-09-28,-0.001448412346634842
2017-09-29,0.000706650778320439
2017-10-09,0.006909004271812291
2017-10-10,-0.00011511702896382925
2017-10-11,-0.0028698148766262976
2017-10-12,-0.0021037088902069456
2017-10-13,0.004429403377696373
2017-10-16,-0.00448816262549534
2017-10-17,-0.002698494172902244
2017-10-18,-0.0011822867768079837
2017-10-19,-0.008356556489900191
2017-10-20,0.0030432614382551737
2017-10-23,0.0029611292112421417
2017-10-24,0.0003156562792889783
2017-10-25,0.0022478944927866173
2017-10-26,0.002496115887398842
2017-10-27,-0.005733079702630373
2017-10-30,-0.007549728295973335
2017-10-31,0.0031477589214525814
